"Story","Title","Result","Date","Stability","Duration (s)"
"AddDifferentSortsOfTodos","Should be able to add a new todo item","SUCCESS","2023-08-20T07:03:47.026960949Z[Etc/UTC]","0.0","12.06"
"LearnAboutTheApplication","Should be able to identify the application with page objects","SUCCESS","2023-08-20T07:03:47.097653341Z[Etc/UTC]","0.0","1.04"
"LearnAboutTheApplication","Should see how to begin with page objects","SUCCESS","2023-08-20T07:03:48.278885393Z[Etc/UTC]","0.0","1.18"
"CompleteATodo","Should be able to complete a todo with page objects","SUCCESS","2023-08-20T07:03:39.628511126Z[Etc/UTC]","0.0","0.74"
"ToggleAllTodos","Should be able to toggle status of all todos with page objects","SUCCESS","2023-08-20T07:03:34.662143522Z[Etc/UTC]","0.0","1.04"
"ToggleAllTodos","Should see how many items todo when all are toggled to incomplete with page objects","SUCCESS","2023-08-20T07:03:36.158060013Z[Etc/UTC]","0.0","0.83"
"ToggleAllTodos","Should see that there are zero items todo when all are toggled complete with page objects","SUCCESS","2023-08-20T07:03:37.300129131Z[Etc/UTC]","0.0","0.83"
"ToggleAllTodos","Should be able to quickly complete all todos with page objects","SUCCESS","2023-08-20T07:03:38.455528347Z[Etc/UTC]","0.0","0.78"
"ClearCompletedTodos","Should be able to clear completed todos with page objects","SUCCESS","2023-08-20T07:03:53.298161777Z[Etc/UTC]","0.0","0.7"
"ClearCompletedTodos","Should not be able to clear completed todos if none are complete with page objects","SUCCESS","2023-08-20T07:03:54.437734132Z[Etc/UTC]","0.0","0.7"
"DeletingTodos","Should be able to delete todos with page objects","SUCCESS","2023-08-20T07:03:55.389967818Z[Etc/UTC]","0.0","0.66"
"DeletingTodos","Should see deleting a todo decreases the remaining items count with page objects","SUCCESS","2023-08-20T07:03:56.330507224Z[Etc/UTC]","0.0","0.68"
"FilteringTodos","Should be able to view both complete and incomplete todos with page objects","SUCCESS","2023-08-20T07:03:49.623285666Z[Etc/UTC]","0.0","0.69"
"FilteringTodos","Should be able to view only completed todos with page objects","SUCCESS","2023-08-20T07:03:50.865414915Z[Etc/UTC]","0.0","0.72"
"FilteringTodos","Should be able to view only incomplete todos with page objects","SUCCESS","2023-08-20T07:03:52.086417417Z[Etc/UTC]","0.0","0.67"
"AddNewTodos","Test to resolve issue #616172","SUCCESS","2023-08-20T07:03:40.800800594Z[Etc/UTC]","0.0","1.16"
"AddNewTodos","Should be able to add additional todo items with page objects","SUCCESS","2023-08-20T07:03:42.230482598Z[Etc/UTC]","0.0","0.72"
