"Story","Title","Result","Date","Stability","Duration (s)"
"Learn about the application","Should be able to identify the application","SUCCESS","2021-07-25T20:09:20.63Z[Etc/UTC]","0.0","1.6"
"Learn about the application","Should see how to begin","SUCCESS","2021-07-25T20:09:20.778Z[Etc/UTC]","0.0","1.25"
"Complete a todo","Should see the number of todos decrease when an item is completed","SUCCESS","2021-07-25T20:08:47.289Z[Etc/UTC]","0.0","3.55"
"Complete a todo","Should be able to complete a todo","SUCCESS","2021-07-25T20:08:47.519Z[Etc/UTC]","0.0","3.66"
"Download the app","Should be able to download the application","SUCCESS","2021-07-25T20:08:51.392Z[Etc/UTC]","0.0","13.53"
"Download the app","Should see the number of todos decrease when an item is completed","SUCCESS","2021-07-25T20:08:51.604Z[Etc/UTC]","0.0","3.29"
"Delete todos","Should see deleting a todo decreases the remaining items count","SUCCESS","2021-07-25T20:09:05.122Z[Etc/UTC]","0.0","2.53"
"Delete todos","Should be able to delete todos","SUCCESS","2021-07-25T20:09:05.292Z[Etc/UTC]","0.0","2.45"
"Todos belong to a user","Should not affect todos belonging to another user","SUCCESS","2021-07-25T20:09:07.91Z[Etc/UTC]","0.0","3.92"
"Filtering todos","Should be able to view only incomplete todos","SUCCESS","2021-07-25T20:09:12.039Z[Etc/UTC]","0.0","4.89"
"Filtering todos","Should be able to view both complete and incomplete todos","SUCCESS","2021-07-25T20:09:12.184Z[Etc/UTC]","0.0","4.67"
"Filtering todos","Should be able to view only completed todos","SUCCESS","2021-07-25T20:09:12.361Z[Etc/UTC]","0.0","4.29"
"Clear completed todos","Should not be able to clear completed todos if none are complete","SUCCESS","2021-07-25T20:09:17.184Z[Etc/UTC]","0.0","2.57"
"Clear completed todos","Should be able to clear completed todos","SUCCESS","2021-07-25T20:09:17.352Z[Etc/UTC]","0.0","3.12"
"Add new todos","Should be able to add the first todo item","SUCCESS","2021-07-25T20:08:42.903Z[Etc/UTC]","0.0","3.28"
"Add new todos","Should be able to add additional todo items","SUCCESS","2021-07-25T20:08:43.19Z[Etc/UTC]","0.0","3.84"
